class,cost,ctmi,crv_arc,crv_plane,crv_pro,diss_a,rough_a,slp_d,sp_a
not,915.1539917,5.7767401,0.410141,0.285267,-0.124874,0.692781,2.0445499,5.3111801,2.7102699
not,2238.590088,6.9094801,0.125461,0.0231794,-0.102282,0.513106,4.0170698,16.6721001,2.1901901
not,710.927002,6.4410901,0.167206,0.0081253,-0.159081,0.515218,2.4335899,8.1673098,1.8141299
not,1975.48999,5.3687901,0.125537,-0.0623988,-0.187935,0.610703,3.1954801,15.6202002,-2.0128901
not,78.0587006,5.1702299,0.0001507,0.237781,0.23763,0.415097,3.10095,9.6758099,-3.1501501
not,1550.359985,8.9783802,0.125537,0.108495,-0.0170418,0.547049,3.3134601,10.0824003,1.6367199
not,1240.77002,7.3379102,-0.167432,-0.177216,-0.0097841,0.41519,4.1266098,19.3523006,-4.7768402
not,4015.949951,4.2502398,1.50512,0.629193,-0.875927,0.551891,4.6174102,23.1625004,1.1898
not,3296.439941,7.1984701,-0.250847,0.118409,0.369256,0.575325,4.1171799,12.6433001,7.83112
not,2130.389893,5.1968598,-0.125386,0.238038,0.363423,0.409413,3.7793901,18.3679008,-3.5754199
not,634.6950073,6.2923698,0.585335,0.492415,-0.0929192,0.578157,3.3675499,9.4548502,3.7736199
not,773.6459961,5.9879198,0.0418204,-0.103069,-0.144889,0.551061,2.63273,8.5605898,1.95901
not,1116.880005,6.1044502,1.9651099,0.406776,-1.5583301,0.723738,2.5225201,3.83236,2.57249
not,0,12.7966995,-6.60604,-2.9205501,3.6854899,0.221736,3.4741299,9.1204205,-15.9581003
not,3834.23999,8.5967598,0.0000754,0.0000603,-0.0000151,0.510118,3.8081999,12.7994003,-1.23137
not,3372,5.1108899,0.376308,0.196645,-0.179663,0.690315,4.00665,19.8922997,11.8773003
not,71.3423996,9.83218,-0.0416697,-0.0278007,0.013869,0.255462,1.2154599,0.830604,-0.613373
not,523.4860229,3.9926801,1.96507,1.62637,-0.338699,0.43697,4.9770098,28.9648991,-1.39245
not,3310.979981,6.5842299,-0.125386,-0.123891,0.0014948,0.778725,2.89079,9.4161501,9.0766802
not,1640.280029,7.4994898,0.0418957,-0.0707324,-0.112628,0.482668,4.2293601,14.8751001,0.210556
not,4273.549805,5.3034501,-0.710758,0.567054,1.27781,0.616551,5.2293901,30.8341007,11.5386
not,1459.76001,7.72578,-0.376383,-0.244781,0.131602,0.438312,4.1566701,23.6000004,0.27037
not,60.9199982,5.5015402,3.0522101,1.53392,-1.51829,0.279462,2.3141999,6.9791198,-5.24475
not,1401.699951,5.3358998,0.836182,0.601079,-0.235102,0.668131,4.5694098,23.4319992,7.7871699
not,1118.540039,6.04707,-0.292667,-0.0612495,0.231418,0.665234,2.88799,15.8424997,2.73457
not,4598.629883,5.0162001,0.0420464,0.086238,0.0441915,0.49681,4.4229398,21.6917992,-0.462662
not,0,13.5010996,-4.5573702,-3.8229001,0.734466,0.259234,2.2093201,4.9099798,-5.8425102
not,2623.169922,6.9918299,-0.836219,-1.0371,-0.200878,0.622366,3.2420199,13.9406996,3.7595401
not,182.2590027,5.7349401,-3.5121601,-1.75471,1.75745,0.435175,3.61972,25.8577995,-7.4312401
not,0,11.2208004,-2.09027,-0.646685,1.44358,0.442542,2.71909,9.1300697,-5.5174298
