FID,POINTID,GRID_CODE,class,predB1,predB2,predB3,predB4,predB5,predB6,predB7,predB8,predB9,predB10,predB11,predB12,predB13,predB14,predB15,predB16,predB17,predB18,imgB1,imgB2,imgB3,imgB4,imgB5,pca1,pca2,ndvi,ndvir,skp,diff,lst,grd,all,frst,grdr,lstr,allr,frstr,rand,rand2,rand3,id_2,rand4,rand5,pcaxB1,pcaxB2,pcaxB3,pcaxB4,pcaxB5
2131,35475,5,water,5843,4397,2028,1510,935,6653,11430,20675,27963,10217,0,0,0,0,0,0,0,0,5843.000000000000000,4397.000000000000000,2028.000000000000000,1510.000000000000000,935.000000000000000,6653,11430,-0.3688830,-0.1464100,1.6637599,3.4335499,0.0000000,0.0000000,0.0000000,0.0000000,0,0,0,0,1,5,0,5,1,1,6739,11699,9220,4881,1689
2132,35476,5,water,5946,4623,1913,1411,876,6684,11562,20579,27812,9962,0,0,0,0,0,0,0,0,5946.000000000000000,4623.000000000000000,1913.000000000000000,1411.000000000000000,876.000000000000000,6684,11562,-0.3718180,-0.1510230,1.3056200,2.8492701,0.0000000,0.0000000,0.0000000,0.0000000,0,0,0,0,1,5,0,5,1,1,6774,11831,9385,4675,1692
2133,35487,3,shrub,5783,4829,3168,4273,6623,11166,6899,44320,37624,10365,1611,1564,596,1879,41,41,41,38,5783.000000000000000,4829.000000000000000,3168.000000000000000,4273.000000000000000,6623.000000000000000,11166,6899,0.3528750,0.1485020,18.2705002,3.7740500,24.7924995,9.1818199,24.0746002,28.9216003,41,41,41,38,0,3,0,3,1,1,11013,6934,8610,5224,1774
2134,35491,3,shrub,5643,4819,3179,4383,6791,11225,6689,44628,37975,10579,1709,1622,552,1706,38,38,38,27,5643.000000000000000,4819.000000000000000,3179.000000000000000,4383.000000000000000,6791.000000000000000,11225,6689,0.3622870,0.1592170,19.4328995,4.2658701,26.3043003,8.5000000,24.9636002,26.2549000,38,38,38,27,0,3,0,3,1,1,11065,6727,8501,5202,1817
2135,35492,3,shrub,5767,4918,3231,4327,6866,11363,6728,44553,37510,10218,1511,1456,1105,1751,38,38,38,34,5767.000000000000000,4918.000000000000000,3231.000000000000000,4327.000000000000000,6866.000000000000000,11363,6728,0.3600080,0.1450120,19.2443008,3.4378700,23.2500000,17.0000000,22.3999996,26.9400005,38,38,38,34,0,3,0,3,1,1,11202,6757,8583,5162,1726
2136,35493,3,shrub,5801,4900,3216,4558,6702,11382,6844,44274,38415,10460,1326,1360,442,1741,40,40,40,33,5801.000000000000000,4900.000000000000000,3216.000000000000000,4558.000000000000000,6702.000000000000000,11382,6844,0.3514820,0.1726270,19.1492004,3.9923699,20.4067993,6.8000002,20.9230995,26.7963009,40,40,40,33,0,3,0,3,1,1,11228,6866,8528,5255,1965
2137,35495,5,water,5991,4702,1898,1499,879,6772,11587,20738,28912,10037,0,0,0,0,0,0,0,0,5991.000000000000000,4702.000000000000000,1898.000000000000000,1499.000000000000000,879.000000000000000,6772,11587,-0.3669430,-0.1174570,0.5596400,3.0229001,0.0000000,0.0000000,0.0000000,0.0000000,0,0,0,0,1,5,0,5,1,1,6863,11850,9403,4644,1773
2138,35497,4,forest,6152,4924,4640,4542,5152,11408,8633,34472,32410,14729,941,576,994,424,22,22,22,22,6152.000000000000000,4924.000000000000000,4640.000000000000000,4542.000000000000000,5152.000000000000000,11408,8633,0.0522876,-0.0106730,26.6471996,13.7834997,14.4877996,15.3000002,8.8701296,6.5238099,22,22,22,22,0,4,0,4,1,1,11381,8678,7631,5860,1689
2139,35508,3,shrub,5894,4780,2995,4414,6437,11094,7027,44715,39034,9650,1742,1680,1209,1811,42,42,42,37,5894.000000000000000,4780.000000000000000,2995.000000000000000,4414.000000000000000,6437.000000000000000,11094,7027,0.3649280,0.1915240,17.5578003,2.1349199,26.8085003,18.6000004,25.8462009,27.8696003,42,42,42,37,0,3,0,3,1,1,10942,7053,8730,5304,2017
2140,35509,3,shrub,5942,4927,3319,4762,6519,11502,7067,43415,38609,9412,2143,1998,2382,2151,41,41,41,41,5942.000000000000000,4927.000000000000000,3319.000000000000000,4762.000000000000000,6519.000000000000000,11502,7067,0.3252690,0.1785670,16.1825008,1.5881300,32.9786987,36.6521988,30.7455006,33.1041985,41,41,41,41,0,3,0,3,1,1,11360,7078,8478,5378,2128
